continent,hour,sentiment
AF,0.0,0.03710013858524752
AF,1.0,0.20856680448217824
AF,2.0,0.026995668316831683
AF,3.0,0.10679661716138614
AF,4.0,0.1431917948287129
AF,5.0,0.14445557288217822
AF,6.0,0.1359488490673267
AF,7.0,0.09179826884633666
AF,8.0,0.1604927602930693
AF,9.0,0.09940293379306932
AF,10.0,0.024383351676237622
AF,11.0,-0.024120470173366333
AF,12.0,0.054308764493267325
AF,13.0,0.13779363465148517
AF,14.0,0.1487147161920792
AF,15.0,0.04606600264128712
AF,16.0,0.0378914939591089
AF,17.0,0.11796261624950494
AF,18.0,0.023544937072475246
AF,19.0,-0.05798228037089109
AF,20.0,0.11920544918019803
AF,21.0,0.1510350666930693
AF,22.0,0.05604473472148515
AF,23.0,0.047034432998217815
AN,9.0,0.0
AN,13.0,0.0
AN,16.0,0.13531353135346535
AS,0.0,0.15560125164059405
AS,1.0,0.10446135047821782
AS,2.0,0.11293936334851486
AS,3.0,0.13255039336336633
AS,4.0,0.19872906793663367
AS,5.0,0.09138445680574257
AS,6.0,0.07750402896524752
AS,7.0,0.12016364217227724
AS,8.0,0.0742830344229703
AS,9.0,0.06590012288623762
AS,10.0,0.06043786680089109
AS,11.0,0.08084350361445546
AS,12.0,0.08576383878009901
AS,13.0,0.0917853655408911
AS,14.0,0.09739354250227723
AS,15.0,0.13859701458910892
AS,16.0,0.14614259706039603
AS,17.0,0.12241305953168317
AS,18.0,0.06788120861732673
AS,19.0,0.03632597662069306
AS,20.0,0.102257937090099
AS,21.0,0.11970157209207921
AS,22.0,0.24722055538910895
AS,23.0,0.18659867791287127
EU,0.0,0.08672356372168318
EU,1.0,0.12503898612475248
EU,2.0,0.003267915179247525
EU,3.0,0.03427740733257426
EU,4.0,0.12144017601188119
EU,5.0,0.12753327757326732
EU,6.0,0.21650102158316833
EU,7.0,0.19769674838613863
EU,8.0,0.13518627355742574
EU,9.0,0.08021271108643566
EU,10.0,0.10131183432277227
EU,11.0,0.10345018328118812
EU,12.0,0.16321040842673265
EU,13.0,0.16458591951683169
EU,14.0,0.0863845610331683
EU,15.0,0.07173493172059406
EU,16.0,0.07310857468485149
EU,17.0,0.07312714618940594
EU,18.0,0.12307254243069307
EU,19.0,0.07810678484485149
EU,20.0,0.05646065329099011
EU,21.0,0.13998515230990102
EU,22.0,0.14872648688217824
EU,23.0,0.08045443158089109
OC,0.0,-0.03725644443465346
OC,1.0,0.1457892179069307
OC,2.0,0.08061109869732673
OC,3.0,0.13410832154653465
OC,4.0,0.0849760832791089
OC,5.0,0.017865701900396044
OC,6.0,0.0030421157433960394
OC,7.0,0.06790663445178219
OC,8.0,0.1178204514
OC,9.0,-0.06399696530792079
OC,10.0,0.08301669452653465
OC,11.0,0.07769908427306932
OC,12.0,0.12506545554950496
OC,13.0,0.27902617848019806
OC,14.0,-0.2448843429316832
OC,15.0,0.1677077217821782
OC,16.0,0.3501970094970297
OC,17.0,0.027808336389207915
OC,18.0,0.2264851485148515
OC,19.0,0.2296479647960396
OC,20.0,0.22176384305049504
OC,21.0,-0.0696007100709901
OC,22.0,0.20867304984455445
OC,23.0,0.038202538202475246
SA,0.0,0.005051723659762376
SA,1.0,0.08661390477168317
SA,2.0,0.03495649834059406
SA,3.0,0.05846633770514851
SA,4.0,0.07529103637019802
SA,5.0,0.1899190605871287
SA,6.0,0.1102310231019802
SA,7.0,0.016525917297623767
SA,8.0,0.2708407001415842
SA,9.0,-0.11018976897722772
SA,10.0,0.09852096320742572
SA,11.0,0.07763633506207922
SA,12.0,0.05290240874742575
SA,13.0,-0.0007073921677851487
SA,14.0,-0.007837385335693068
SA,15.0,0.043056623958118816
SA,16.0,-0.07903562792178218
SA,17.0,0.03229688312742574
SA,18.0,0.03900461793623762
SA,19.0,0.03004415024831683
SA,20.0,0.33246314049405945
SA,21.0,0.07526727576227722
SA,22.0,0.08658527448396039
SA,23.0,0.08959801514722772
